Index,Fecha,EVI
1,01/2021,"0,414"
2,02/2021,"0,341"
3,03/2021,"0,234"
4,04/2021,"0,248"
5,05/2021,"0,204"
6,06/2021,"0,15"
7,07/2021,"0,111"
8,08/2021,"0,105"
9,09/2021,"0,117"
10,10/2021,"0,128"
11,11/2021,"0,198"
12,12/2021,"0,263"
