Index,Fecha,EVI
1,01/2020,"0,142"
2,02/2020,"0,289"
3,03/2020,"0,33"
4,04/2020,"0,186"
5,05/2020,"0,142"
6,06/2020,"0,137"
7,07/2020,"0,101"
8,08/2020,"0,087"
9,09/2020,"0,08"
10,10/2020,"0,091"
11,11/2020,"0,139"
12,12/2020,"0,385"
